	RDC_C	RDC_N
pp_96095	3.7411379976666668	3.4789132936666665
pp_217174	5.828891724333333	6.049102606333333
pp_239861	1.3253257120000002	1.2407338033333333
pp_146810	3.6934748826666666	3.554011573
pp_204220	1.744340327	1.6573525616666667
pp_155137	211.13643316666668	219.21968496666668
pp_119834	8.845238674	9.218867633
pp_68750	7.124878677333333	7.842160557333333
pp_108299	12.673276891666667	13.263304813333333
pp_148486	14.02669064	13.512857975
pp_117941	80.81271837333334	83.66039310000001
pp_174590	4.070168497666667	3.7971295159999996
pp_129768	8.713601919333334	8.388241775333334
pp_56521	30.04488779	31.222082536666665
pp_149876	3.3465418253333334	3.5204479136666667
pp_195168	39.208552473333334	41.45087526333333
pp_171277	0.18197863866666666	0.16322965433333333
pp_129385	728.0178085666666	778.8863630333334
pp_205355	6.859953326	6.542647626666667
pp_129920	26.517055903333333	27.769762863333334
pp_112731	13.578937243333334	13.137713223333334
pp_213746	0.8450113020000001	0.9053424646666667
pp_208791	31.95326277	33.644853143333336
pp_92117	147.69816870666665	134.09954846
pp_172597	12.033013923333334	10.893892410333333
pp_192287	114.36474801666667	108.58885556666667
pp_172339	32.07832429	29.650410746666665
pp_85330	2.9445115493333334	2.815680104
pp_202417	0.9299936316666667	0.9878597536666667
pp_56876	3.075672463	3.197145366
pp_209242	1.9578235019999999	1.872370377
pp_120210	5.821289089333334	6.495941798666666
pp_179551	2.544700716	2.6642715426666665
pp_240648	0.7676130013333333	0.8354203933333333
pp_25615	49.48146086	47.710440293333335
pp_115491	6.14223453	5.874071046333333
pp_96418	5.431168954333333	5.679566213666667
pp_197243	9.691482330666666	9.261693699666667
pp_204561	0.879408598	1.1593416226666666
pp_95885	33.813005456666666	32.3920932
pp_203545	1.782622344	1.657731049
pp_109257	43.01475722	44.69817831
pp_86460	188.40078256666666	194.82838813333333
pp_247850	97.47183389	107.09923582
pp_120229	5.037298950333334	5.265369769666667
pp_154622	7.152291100333333	6.498864871333334
pp_199850	0.931184611	0.9839275156666667
pp_108978	124.07976873333334	129.41416181666668
pp_131367	4.501477502	4.337539516666666
pp_194541	19.118726	19.772400416666667
pp_115050	0.037265319	0.027187947333333334
pp_195091	13.33580984	13.85309695
pp_76527	2.1031813193333333	2.0065309996666665
pp_206144	9.960263887	9.321719812
pp_111646	35.25099777333334	33.32177241
pp_198606	1.5160684313333335	1.5922887743333334
pp_117996	18.61768957	19.28768891
pp_239953	6.490696701333333	6.839986804
pp_200104	5.156292015333333	4.759321238333333
pp_225472	1.5651810133333333	1.4929125806666668
pp_153401	1.1085783846666666	1.1721712286666668
pp_78739	1.4797438886666667	1.4063433086666666
pp_215548	6.467691561666667	6.778009186
pp_118026	6.366329784333333	6.596075938333334
pp_190473	1.3307903206666667	1.406056573
pp_163834	0.794780405	0.7408160733333333
pp_79496	83.29702055333333	86.681045
