	RDV_C	RDV_N
pp_134825	3.279589995666667	20.061128605
pp_200351	0.11218645833333334	0.952811283
pp_195109	1.3510583483333334	8.086535738
pp_178179	0.728861537	2.8881896846666666
pp_155055	0.12510716633333333	3.085712874333333
pp_217126	2.276524124	15.888436129666667
pp_164368	2.4331587756666666	12.555878220666665
pp_117801	0.020593762666666668	0.5542224226666667
pp_66387	8.138006004666668	47.16682041966667
pp_117270	0.527119482	2.545619815
pp_120698	0.40810935	2.457522051
pp_85190	0.9534771516666666	3.2855172316666668
pp_110694	0.737836503	5.774943070333333
pp_213684	4.334876799666667	23.655250327
pp_137198	38.42725384333333	280.54755579
pp_215040	0.020670848333333332	0.8943026066666666
pp_86689	0.0	0.07666904866666667
pp_160405	2.458402076	0.25210779866666666
pp_195112	8.877247095	52.362743966
pp_160402	1.4200102616666668	0.14101038633333335
pp_167315	0.707948009	3.621093081666667
pp_68330	0.0	0.5388959353333332
pp_179857	0.226953926	1.193217705
pp_66838	20.760678256	0.026223917
pp_227307	2.5008728573333334	11.778374161666667
pp_66391	9.396011313333334	53.27764574933333
pp_225734	0.09855198766666667	0.8851379056666666
pp_153514	1.089653528	10.790781022333334
pp_119498	0.9889330823333333	4.435763701666667
pp_195114	12.887634296	74.60286710666666
pp_134923	0.2425912613333333	1.2366267976666667
pp_239921	0.11461185966666666	0.846449803
pp_134815	2.6040715106666665	17.644378415333335
pp_135399	0.07334868433333333	2.3214054136666666
pp_164365	0.8257975436666667	4.366647769333333
