	RM_C	RM_N
pp_195657	14.808689063333334	13.878609769333334
pp_186388	4.499574969	4.242284959333333
pp_161683	1.5064765013333332	1.39253874
pp_168440	33.296324313333336	35.507148713333336
pp_68835	0.5291351209999999	0.5994996486666666
pp_124292	0.0076487103333333336	0.016509811333333332
pp_168955	5.333936947	4.759587193
pp_58481	0.850937652	1.069755805
pp_92217	14.186909963333333	15.05414053
pp_85949	1.689339245	2.0143746913333334
pp_181219	1.662694835	1.8520479653333333
pp_215780	0.19560488133333334	0.22805604633333332
pp_96116	41.31661514	39.09400548
pp_66273	6.809843490666666	6.201166721
pp_207988	8.645790481333334	8.143625953333334
pp_205831	1.312804083	1.4746576733333332
pp_224652	6.8096676296666665	6.220213277666667
pp_209637	3.5013789403333333	3.7523082376666665
pp_177982	3.1104824206666666	2.8204632943333334
pp_96253	2.0465799153333335	2.2010143133333333
pp_209127	1.0203798666666666	1.1114030686666667
pp_213708	3.793434261	3.568761654
pp_134952	2.604254716333333	2.394048805
pp_155519	125.2381365	118.15800197666667
pp_214272	10.117342145666667	11.005099364
pp_205226	2.577966610333333	2.7841487123333333
pp_71126	2.1142186213333334	1.9785559053333333
pp_213118	3.5531229246666665	3.8225349743333332
pp_196662	2.7729856453333332	2.606728266666667
pp_74738	1.2086992813333333	1.3182236246666668
pp_118982	15.28085956	16.190493013333334
pp_137825	47.269654016666664	50.591606823333336
pp_66675	23.258654583333332	21.93871417
pp_72819	11.136525336333333	9.448844936333334
pp_83486	2.0204698603333333	2.173898908
pp_234078	227.4248548	207.87636033333334
pp_153420	0.736505305	0.8491277986666667
pp_243158	3.281704566666667	3.5435489606666666
pp_63776	0.491833485	0.42858465933333334
pp_154646	4.868529267	5.179171697
pp_169366	493.84162526666665	460.47653703333333
pp_247261	3.055520982	2.8665384720000002
pp_65936	14.17300779	15.02007756
pp_116912	6.465196673666667	6.0990195583333335
pp_163930	2.1554301346666667	2.006952119666667
pp_65933	28.09405745666667	29.72637080333333
pp_108746	6.343894014666667	7.059428516
pp_74507	0.37276432133333337	0.32122280966666666
pp_109034	6.316653940666667	6.748045839666666
pp_129618	1.0361726776666667	1.1420387586666667
pp_96386	9.558272783333333	9.029618998666667
pp_125725	9.100294821666667	9.653080023666668
pp_153380	10.500608653333334	11.103824563333333
pp_118321	7.717393559	8.205213609666666
pp_79632	1.5548941473333333	1.309704085
pp_189295	1.1494120273333333	1.0224718369999999
pp_152061	8.273998680666667	9.348300309333334
pp_202284	15.040028413333333	15.90639418
pp_94603	0.49375967666666665	0.5702437543333334
pp_112804	12.530606153333332	13.359331713333333
pp_157612	1.322707261	1.4527099196666666
pp_105988	0.5898269713333333	0.6501443793333334
pp_198123	13.146530150333334	14.535020168666666
pp_202980	742.8514421666667	693.4002851666667
pp_142520	4.398017139333334	4.705675060333333
pp_198483	2.361045489	2.1344611986666666
pp_177817	0.074877364	0.09147733899999999
